Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.0,7.294257164001465,7.2547221183776855,7.274489879608154,1.0909438133239746,74617
1972-06-02,7.294257164001465,7.393095970153809,7.294257164001465,7.353559970855713,1.1028027534484863,227645
1972-06-05,7.353559970855713,7.363443851470947,7.3337931632995605,7.3337931632995605,1.0998377799987793,96117
1972-06-06,7.3337931632995605,7.343677043914795,7.294257164001465,7.314024925231934,1.0968737602233887,77146
1972-06-07,7.284374237060547,7.284374237060547,7.185534954071045,7.185534954071045,1.0776031017303467,121411
1972-06-08,7.185534954071045,7.225070953369141,7.116349220275879,7.116349220275879,1.0672283172607422,328820
1972-06-09,7.116349220275879,7.116349220275879,7.066929817199707,7.076813220977783,1.0612998008728027,232704
1972-06-12,7.076813220977783,7.136116027832031,7.047162055969238,7.116349220275879,1.0672283172607422,182116
1972-06-13,7.136116027832031,7.234954833984375,7.136116027832031,7.215187072753906,1.0820510387420654,203616
1972-06-14,7.234954833984375,7.314024925231934,7.234954833984375,7.314024925231934,1.0968737602233887,168204
1972-06-15,7.314024925231934,7.442514896392822,7.314024925231934,7.3337931632995605,1.0998377799987793,699376
1972-06-16,7.3337931632995605,7.343677043914795,7.304141044616699,7.323908805847168,1.0983556509017944,54382
1972-06-19,7.323908805847168,7.343677043914795,7.284374237060547,7.284374237060547,1.0924272537231445,159351
1972-06-20,7.294257164001465,7.3337931632995605,7.294257164001465,7.323908805847168,1.0983556509017944,56911
1972-06-21,7.323908805847168,7.393095970153809,7.323908805847168,7.393095970153809,1.108731746673584,112558
1972-06-22,7.393095970153809,7.402978897094727,7.323908805847168,7.323908805847168,1.0983556509017944,73352
1972-06-23,7.323908805847168,7.3337931632995605,7.2547221183776855,7.304141044616699,1.0953915119171143,106234
1972-06-26,7.284374237060547,7.284374237060547,7.195418834686279,7.195418834686279,1.0843688249588013,74617
1972-06-27,7.195418834686279,7.215187072753906,7.195418834686279,7.215187072753906,1.0873477458953857,118881
1972-06-28,7.205303192138672,7.205303192138672,7.136116027832031,7.1558837890625,1.0784112215042114,241556
1972-06-29,7.136116027832031,7.136116027832031,7.106464862823486,7.106464862823486,1.0709630250930786,51852
1972-06-30,7.106464862823486,7.1558837890625,7.096580982208252,7.136116027832031,1.0754321813583374,322497
1972-07-03,7.136116027832031,7.165768146514893,7.116349220275879,7.145999908447266,1.0769211053848267,27823
1972-07-05,7.145999908447266,7.205303192138672,7.126233100891113,7.195418834686279,1.0843688249588013,58176
1972-07-06,7.244838237762451,7.323908805847168,7.244838237762451,7.274489879608154,1.0962839126586914,189704
